name,desc,img,type,mag,size,dist,const,catalog
M34,"Messier 34 (M34) is a bright, large open cluster located in the northern constellation Perseus.  The cluster lies at an approximate distance of 1,500 light years from Earth and has an apparent magnitude of 5.5. It has the designation NGC 1039 in the New General Catalogue.  Messier 34 is pretty easy to find in the sky and its stars can be resolved even in 10×50 binoculars. The cluster is located just to the north of the imaginary line drawn from Algol (Beta Persei), the second brightest star in Perseus, to Almach (Gamma Andromedae), the third brightest star in the neighbouring constellation Andromeda. The cluster lies 5 degrees northwest of Algol, a famous eclipsing binary star also known as the Demon Star, that represents the head of the Gorgon Medusa, held by Perseus after his victory over the snake-haired monster.  The best way to view M34 is in telescopes at low magnifications. Small telescopes will reveal up to 20 stars, while larger amateur telescopes show about 80 members, many of them arranged in pairs. The best time of year to observe the cluster from northern latitudes is in the months of October, November and December.d in the triangle-shaped constellation Triangulum, earning it the nickname the Triangulum galaxy. About half the size of our Milky Way galaxy, M33 is the third-largest member of our Local Group of galaxies following the Andromeda galaxy (M31) and the Milky Way. A bright blue patch in the object, called NGC 604, is the largest star-forming region in M33 and one of the largest stellar nurseries in the entire Local Group.  The Triangulum galaxy’s orderly spiral structure displays few signs of interactions with nearby galaxies. However, that could change in the future. Only slightly farther away from us than the Andromeda galaxy, about 3 million light-years from Earth, M33 is a suspected gravitational companion to Andromeda, and both galaxies are moving toward our own. M33 could become a third party involved in the impending collision between the Andromeda and Milky Way galaxies more than 4 billion years from now.  M33 has a relatively bright apparent magnitude of 5.7, making it one of the most distant objects that keen-eyed observers can view with the unaided eye (under exceptionally clear and dark skies). Although a telescope will start to reveal some of M33’s spiral features, the diffuse galaxy is actually easiest to examine with low magnification and a wide field of view, such as through binoculars. It is best observed in October.  Although others may have viewed the galaxy earlier, Charles Messier was the first to catalog M33 after observing it in August 1764. In the 1920s, astronomer Edwin Hubble studied dozens of variable stars (those that periodically change brightness) in M33, which helped him to estimate the object’s distance and prove that M33 is not a nebula within our own galaxy, as previously suspected, but actually a separate galaxy outside our own.",M47,Open Cluster,5.2,35,1500,Perseus,NGC 1039
M35,"Messier 35 (M35) is a large open star cluster located in the northern constellation Gemini. The cluster consists of several hundred stars, of which 120 are brighter than magnitude 13. The central region has a density of 6.21 stars per cubic parsec. The cluster has an apparent magnitude of 5.3 and lies at an approximate distance of 2,800 light years from Earth. It has the designation NGC 2168 in the New General Catalogue.       Messier 35 is the only Messier object in Gemini. The best time of year to observe it from northern latitudes is in the winter months, when the constellation is high overhead. M35 lies near the border with Taurus, Auriga and Orion.  It is easy to find as it is located about 3.5 degrees northwest of the star Mu Geminorum, in the middle of a region that contains some of the brightest stars in the sky: Aldebaran, Capella, Betelgeuse, Castor and Pollux.",M35,Open Cluster,5.1,28,2800,Gemini,NGC 2168
M36,"Messier 36 (M36), also known as the Pinwheel Cluster, is an open cluster located in the northern constellation Auriga, the Charioteer.  Messier 36 occupies an area of 12 arc minutes in the sky, corresponding to a linear extension of 14 light years. The cluster has an apparent magnitude of 6.3 and lies at a distance of 4,100 light years from Earth. It has the designation NGC 1960 in the New General Catalogue.  The Pinwheel Cluster contains at least 60 stars and bears a resemblance to the more famous Pleiades cluster (M45) in the constellation Taurus. The two clusters have almost the same physical size and, like many members of the Pleiades cluster, many members of M36 are also rapid spinners. M36, however, is one of the most distant open clusters catalogued by Messier and about 10 times as far away as the Pleiades.       Messier 36 is one of the fainter open clusters in Messier’s catalogue, but it can easily be seen in binoculars and small telescopes. Binoculars will show a faint, fuzzy patch of light and small telescopes at low or medium powers will reveal just over a dozen brightest stars in the cluster, arranged in an X-type shape.  6-inch telescopes will resolve about 25 stars, while 12-inch instruments will reveal stars across the cluster.",M47,Open Cluster,6,12,4110,Auriga,NGC 1960
M37,"Messier 37 (M37) is an open cluster in the constellation Auriga. It has the designation NGC 2099 in the New General Catalogue.  Messier 37 is the brightest, richest and largest of the three open clusters in this constellation that were catalogued by Messier. The cluster has an apparent magnitude of 6.2 and lies at a distance of 4,511 light years from Earth.  Messier 37 can be found by first identifying the pentagon shape formed by the brightest stars in Auriga. The constellation lies in the northern sky, to the northeast of Taurus and northwest of Gemini.       Capella, the sixth brightest star in the sky marks the northern point of the polygon. To the east of Capella is Menkalinan (Beta Aurigae) and to the south of Menkalinan is Mahasim (Theta Aurigae). M37 lies east of the midpoint of the line drawn from Mahasim to Elnath in Taurus, which lies to the southwest. Being the easternmost of the three Messier clusters in Auriga, M37 is the only one found outside Auriga‘s pentagon asterism.  In 10×50 binoculars, M37 appears as a hazy patch of light, but 20×80 and larger binoculars reveal a very compact star cluster, resolving the brightest stars. Small telescopes will show a dozen brightest stars, while 8-inch and larger instruments reveal several hundred stars in the cluster. The best time of year to observe Messier 37 is in the months of December, January and February.",M35,Open Cluster,5.6,24,4510,Auriga,NGC 2099
M38,"Messier 38 (M38), also known as the Starfish Cluster, is an open star cluster located in the northern constellation Auriga.  The cluster lies at a distance of 4,200 light years from Earth. With an apparent magnitude of 7.4, it is invisible to the naked eye. M38 has the designation NGC 1912 in the New General Catalogue.  Messier 38 is relatively easy to find because it is located within the polygon formed by the brightest stars of Auriga. The northern point of the polygon is marked by Capella, Alpha Aurigae, the third brightest star in the northern celestial hemisphere. M38 can be found roughly two thirds of the distance from Capella to the bright Elnath (El Nath), the second brightest star in Taurus constellation, which lies to the south of Capella.       Messier 38 appears quite large in 10×50 binoculars and binoculars with larger magnification resolve some of the cluster’s stars. 4-inch telescopes show many of the cluster’s stars, mainly concentrated toward the central region and forming an irregular pattern that has been compared to the Greek letter Pi, an irregular arrow and an oblique cross.",M35,Open Cluster,6.4,21,4200,Auriga,NGC 1912
M39,"Messier 39 (M39) is a large open cluster located in the constellation Cygnus, the Swan.  Messier 39 is located about 9 degrees to the east and a bit north of the bright star Deneb, Alpha Cygni. The cluster’s apparent size is 32 arc minutes, making it larger than the full Moon, which means that M39 is best observed in binoculars and small telescopes at the lowest magnifications.  The cluster has an apparent magnitude of 5.5 and lies at a distance of 824.4 light years from Earth. It has the designation NGC 7092 in the New General Catalogue.       Messier 39 can be located by star-hopping from Deneb to 4th magnitude star Rho Cygni, which lies some 9 degrees to the east. The cluster lies 3 degrees north of the star. The cluster can be resolved in 7×50 binoculars, which reveal its triangular shape, with three bright stars marking the corners.",M35,Open Cluster,4.6,32,824,Cygnus,NGC 7092
M40,"Messier 40 (M40), also known as Winnecke 4 (WNC 4), is a double star located in the constellation Ursa Major, the Great Bear.  M40 lies at a distance of 510 light years from Earth. It is one of the few Messier objects that are not deep sky objects, but were catalogued by mistake. It was not listed in the New General Catalogue (NGC).  Messier 40 is easy to find as it lies right next to Megrez, one of the bright stars that form the Big Dipper asterism in Ursa Major. Megrez is the star that connects the handle of the Big Dipper to the cup, or the star at the base of the Great Bear‘s tail. M40 is located about 1.5 degrees northeast of Megrez and 17 arc minutes northeast of 70 Ursae Majoris, an orange giant star with a visual magnitude of 5.54.       Winnecke 4 can be seen in 10×50 binoculars, but is better viewed in 20×80 binoculars or small telescopes. Small and medium-sized telescopes will show a pair of stars, one orange-yellow and the other white in colour.",M47,Asterism,8.4,0.8,510,Ursa Major,WIN4
M41,"Messier 41 (M41) is a bright open star cluster located in Canis Major constellation. It lies near Sirius, the brightest star in the sky.  Messier 41 has an apparent magnitude of 4.5 and lies at an approximate distance of 2,300 light years from Earth. It has the designation NGC 2287 in the New General Catalogue. The cluster is relatively loose and can be resolved in a small telescope. It is best observed at low magnifications. 10×50 binoculars show a large faint patch of light, while larger binoculars resolve some of the stars in the cluster. Small telescopes (4-inch) resolve about 50 stars, while 6-inch and 8-inch telescopes show many more fainter members. The best time of year to observe M41 is in the months of December, January and February.  Messier 41 occupies an area of 38 arc minutes in apparent diameter, roughly the size of the full Moon. The cluster has a true diameter of 25 light years. Its estimated age is between 190 and 240 million years. M41 is moving away from us at 23.3 km/s.",M35,Open Cluster,4.5,38,2300,Canis Major,NGC 2287
M42,"Believed to be the cosmic fire of creation by the Maya of Mesoamerica, M42 blazes brightly in the constellation Orion. Popularly called the Orion Nebula, this stellar nursery has been known to many different cultures throughout human history. The nebula is only 1,500 light-years away, making it the closest large star-forming region to Earth and giving it a relatively bright apparent magnitude of 4. Because of its brightness and prominent location just below Orion’s belt, M42 can be spotted with the naked eye, while offering an excellent peek at stellar birth for those with telescopes. It is best observed during January.  The Mayan culture’s likening of the Orion Nebula to a cosmic fire of creation is very apt. The nebula is an enormous cloud of dust and gas where vast numbers of new stars are being forged. Its bright, central region is the home of four massive, young stars that shape the nebula. The four hefty stars are called the Trapezium because they are arranged in a trapezoidal pattern. Ultraviolet light unleashed by these stars is carving a cavity in the nebula and disrupting the growth of hundreds of smaller stars.  This stunning Hubble image offers the sharpest view of the Orion Nebula ever obtained. Created using 520 different Hubble exposures taken in multiple wavelengths of light, this mosaic contains over one billion pixels. Hubble imaged most of the nebula, but ground-based images were used to fill in the gaps in its observations. The orange color in the image can be attributed to hydrogen, green represents oxygen, and the red represents both sulfur and observations made in infrared light.",nebula,Diffuse Nebula,4,90,1345,Orion,NGC 1976
M43,"Separated from the Orion Nebula (M42) by only a dark lane of dust, M43 was recognized as a distinct nebula by the French astronomer Jean-Jacques d’Ortous de Mairan in 1731. A massive star is illuminating M43 and sculpting its landscape of dust and gas with its radiation. Astronomers call the area a miniature Orion Nebula because of its small size and the single star that is shaping it. The Orion Nebula itself is much larger and has four hefty stars that are carving the dust-and-gas terrain.  Both nebulas are part of the massive stellar nursery called the Orion Molecular Cloud Complex, which includes several other nebulas, such as the Horsehead Nebula (Barnard 33) and the Flame Nebula (NGC 2024). At the center of this view of M43, taken using infrared and visible-light cameras on Hubble, sits the massive star that is warping the gas and dust around it.  Located 1,600 light-years from Earth, M43 has an apparent magnitude of 9. It can be spotted through a small telescope and is best observed during January.",M43,Diffuse Nebula,9,20,1600,Orion,NGC 1982
M44,"Messier 44 (M44), also known as the Beehive Cluster or Praesepe (the Manger), is an open star cluster in the constellation Cancer.  Praesepe is a bright, large cluster with an apparent magnitude of 3.7. It lies at a distance of 577 light years from Earth. It has the designation NGC 2632 in the New General Catalogue.  M44 is one of the nearest open clusters to Earth and can easily be seen without binoculars. It appears as a blurry patch of light to the naked eye. The cluster is best seen in binoculars and small telescopes. Occupying an area 95 arc minutes across, it fits in the field of view of binoculars and low power telescopes. Larger telescopes reveal more than 200 stars in the cluster.       The best time of year to observe the Beehive Cluster is from February to May, when Cancer rises high in the sky for northern observers.",M35,Open Cluster,3.1,95,577,Cancer,NGC 2632
M45,"Commonly called the Pleiades or Seven Sisters, M45 is known as an open star cluster. It contains over a thousand stars that are loosely bound by gravity, but it is visually dominated by a handful of its brightest members.  One of these stars, Merope, is located just outside the frame of this image to the upper right. The colorful rays of light at the upper right, emanating from the star, are an optical phenomenon produced within the telescope. The nearly straight, blue-white wisps pointing toward the upper right are streams of large dust particles. As the cloud moves toward Merope, its smaller dust particles are slowed down by the star’s radiation pressure more than the larger particles are. The large dust particles continue on toward the star while the smaller particles are left behind at the lower left of the picture.  The Pleiades cluster has been observed since ancient times, so it has no known discoverer. However, Galileo Galilei, the Italian scientist best known for discovering the largest moons of Jupiter and championing a heliocentric model of the solar system, was the first to observe the Pleiades through a telescope. M45 is located an average distance of 445 light-years from Earth in the constellation Taurus. It has an apparent magnitude of 1.6 and can be seen with the naked eye. The cluster is best observed during January.",M45,Open Cluster,1.2,110,410,Taurus,Mel22
M46,"Messier 46 (M46) is an open star cluster located in the southern constellation Puppis, the Stern.  Messier 46 is a relatively bright, large cluster containing about 500 stars. It occupies an area of 27 arc minutes of apparent sky, almost the size of the full Moon, and has a spatial diameter of 30 light years. The cluster’s estimated age is 300 million years.  M46 is moving away from us at 41.4 km/s.  The cluster has an apparent magnitude of 6.1 and lies at an approximate distance of 5,400 light years from Earth. It has the designation NGC 2437 in the New General Catalogue.       Messier 46 is easy to see in binoculars and small telescopes. It can be found using Sirius, the brightest star in the night sky, as it lies roughly in the same area. M46 is located 14 degrees east and 2 degrees north of the Dog Star. In 10×50 binoculars, the cluster appears hazy and almost like a nebula, but larger binoculars reveal a large open cluster with about 50 dim stars. Larger telescopes show a field of faint stars that are very similar in brightness.",M35,Open Cluster,6.1,27,5400,Puppis,NGC 2437
M47,"Messier 47 (M47) is a bright open star cluster located in the southern constellation Puppis.  The cluster lies at a distance of 1,600 light years from Earth and has an apparent magnitude of 4.2. It has the designation NGC 2422 in the New General Catalogue.  Messier 47 occupies an area of 30 arc minutes of apparent sky, corresponding to a linear diameter of 12 light years. The cluster’s apparent size is roughly the same as that of the full Moon. Its estimated age is 78 million years. The cluster is visible to the naked eye in dark, clear skies and appears as a hazy patch of nebulosity.       Messier 47 is quite easy to find as it is positioned 12 degrees to the east and 2 degrees to the north of Sirius, the brightest star in the sky, located in the constellation Canis Major. The cluster can also be found about 5 degrees south of Alpha Monocerotis, an orange giant in the constellation Monoceros, the Unicorn.  The cluster is easily resolved in 10×50 binoculars, which reveal its brightest stars. Larger binoculars and small telescopes show many dimmer stars in M47, while 6-inch telescopes reveal a loose cluster with many bright and faint stars spread across an area 30 arc minutes in diameter.",M47,Open Cluster,4.4,30,1600,Puppis,NGC 2422
M48,"Messier 48 (M48) is an open star cluster located in Hydra, the largest constellation in the sky. The cluster has an apparent magnitude of 5.5 and lies at a distance of 1,500 light years from Earth. It has the designation NGC 2548 in the New General Catalogue.  Messier 48 can be seen without binoculars in good conditions. It lies near the border with the constellation Monoceros, the Unicorn. The cluster is quite conspicuous, occupying an area of 54 arc minutes of apparent sky, which corresponds to a spatial diameter of 23 light years.       The concentrated central region of M48 stretches across an area more than 30 arc minutes in size. The best time of year to observe the cluster is in the months of December, January and February. The best way to observe M48 is at low magnifications as it covers an area almost twice the size of the full Moon.  The cluster is easily seen in binoculars and small telescopes, which reveal about 50 stars brighter than magnitude 13. M48 has at least 80 members, including three giant stars of spectral types G to K. The hottest star in the cluster has the stellar classification A2 and a visual magnitude of 8.8. It is about 70 times more luminous than the Sun. The estimated age of M48 is 300 million years.",M35,Open Cluster,5.8,54,1500,Hydra,NGC 2548
M49,"The elliptical galaxy M49 was discovered by Charles Messier in 1771. Not only was it the first object discovered in the Virgo Cluster of galaxies, but it was also the first elliptical galaxy detected outside of the Milky Way’s Local Group. Unlike spiral galaxies that have well-defined structures and picturesque spiral arms, elliptical galaxies are fairly featureless with little structure. The stars in elliptical galaxies are usually much older than those in spiral galaxies. M49 also contains a rich collection of globular star clusters — nearly 6,000. There is an X-ray source at the core of the galaxy, indicating that a supermassive black hole lurks at the center of M49. The estimated mass of this supermassive black hole is roughly 565 million times the mass of our sun.  M49 is located 60 million light-years from Earth in the constellation Virgo. It has an apparent magnitude of 9.4 and can be observed using a pair of binoculars. The best time to observe the galaxy is during the month of May.",M105,Galaxy,9.3,9.8,55900000,Virgo,NGC 4472
M50,"Messier 50 (M50), nicknamed the Heart-Shaped Cluster, is a large, bright open cluster located in the constellation Monoceros.  The cluster has an apparent magnitude of 5.9 and lies at an approximate distance of 3,200 light years from Earth. It has the designation NGC 2323 in the New General Catalogue.  Messier 50 lies to the east of Orion, near the border between Monoceros and Canis Major constellation. It occupies an area about half the size of the full Moon and is relatively easy to find because it is located 9.5 degrees north-northeast of Sirius, the brightest star in the sky.       M50 can be found about 20 degrees along the line formed by the three bright stars of Orion’s Belt. It can be found about two fifths of the way from Sirius to Procyon, the brightest star in Canis Minor constellation and eighth brightest star in the sky.  At least two or three relatively bright stars in M50 can be resolved in binoculars, while small telescopes reveal the cluster’s distinctive heart-shaped figure. 6-inch and 8-inch telescopes show at least 40 of the cluster’s blue-white stars, as well as some yellow and orange stars. The best time of year to observe M50 is in the months of December, January and February.",M35,Open Cluster,5.9,16,3200,Monoceros,NGC 2323
M51,"The graceful, winding arms of the majestic spiral galaxy M51 appear like a grand spiral staircase sweeping through space. They are actually long lanes of stars and gas laced with dust. Such striking arms are a hallmark of so-called grand-design spiral galaxies. In M51, also known as the Whirlpool galaxy, these arms serve an important purpose: they are star-formation factories, compressing hydrogen gas and creating clusters of new stars.  Some astronomers think that the Whirlpool’s arms are particularly prominent because of the effects of a close encounter with NGC 5195, the small, yellowish galaxy at the outermost tip of one of the arms. The compact galaxy appears to be tugging on the arm, the tidal forces from which trigger new star formation. Hubble’s clear view shows that NGC 5195 is passing behind M51. The small galaxy has been gliding past the Whirlpool for hundreds of millions of years.  In Hubble’s captivating image of M51, the red represents infrared light as well as hydrogen within giant star-forming regions. The blue color can be attributed to hot, young stars while the yellow color is from older stars.  Discovered by Charles Messier in 1773, M51 is located 31 million light-years from Earth in the constellation Canes Venatici. It has an apparent magnitude of 8.4 and can be spotted with a small telescope most easily during May. The Whirlpool galaxy’s beautiful face-on view and closeness to Earth allow astronomers to study a classic spiral galaxy’s structure and star-forming processes.",M51,Galaxy,8.9,10.8,23000000,Canes Venatici,NGC 5194
M52,"Messier 52 (M52) is a bright open cluster located in the northern constellation Cassiopeia.  The cluster has an apparent magnitude of 5.0 and lies at an approximate distance of 5,000 light years from Earth. It has the designation NGC 7654 in the New General Catalogue.  Messier 52 can easily be seen with binoculars. In 10×50 binoculars, it appears as a hazy, nebulous patch of light. 4-inch telescopes reveal a dense, compressed star cluster populated by many faint stars, with a shape resembling that of the letter V.       More stars are visible in 6-inch and larger instruments. The cluster occupies an area just less than half of the size of the full Moon.  Messier 52 is very easy to find as it lies near Cassiopeia‘s prominent W asterism, formed by the constellation’s brightest stars.  The cluster can be located by extending the line from Schedar, Alpha Cassiopeiae, to Caph, Beta Cassiopeiae to the northwest about the same distance as that between the two stars. The cluster lies only a degree south of the star 4 Cassiopeiae. The best time of year to observe it is during the autumn.",M35,Open Cluster,6.9,13,5000,Cassiopeia,NGC 7654
M53,"Thousands and thousands of brilliant stars make up the globular cluster named Messier 53. Bound tightly by gravity, the cluster is roughly spherical and becomes denser toward its heart. Discovered by the German astronomer Johann Elert Bode in 1775, M53 is 59,700 light-years away, one of the most distant globular clusters from Earth. Best observed in May, it has an apparent magnitude of 8.3 and can be seen through a small telescope in the constellation Coma Berenices. Larger instruments will resolve the cluster’s individual stars.  Globular clusters are much older and larger than open clusters, so they are generally expected to contain more elderly, red stars and fewer young, blue stars. But Messier 53 has surprised astronomers with its unusual number of a type of star called blue stragglers. All the stars in a globular cluster are expected to form around the same time, so they are expected to be roughly the same age. But blue stragglers appear to be brighter and more youthful than they should be. Although their precise nature remains mysterious, these unusual objects are probably formed by close encounters, possibly collisions, between stars in the crowded centers of globular clusters like M53.",M5,Globular Cluster,7.6,14.4,58000,Coma Berenices,NGC 5024
M54,"The dense group of stars known as M54 was the first globular cluster found outside our galaxy. M54 belongs to a satellite galaxy of the Milky Way called the Sagittarius Dwarf Elliptical Galaxy. When Charles Messier discovered M54 in 1778, he did not know that the cluster belonged to another galaxy.  Even though M54 is now understood to lie outside the Milky Way, it will become part of our galaxy in the future. The strong gravitational pull of our large galaxy is slowly engulfing the Sagittarius dwarf galaxy, which will eventually merge with the Milky Way to create one larger galaxy.  M54 is located roughly 90,000 light-years from Earth. It has an apparent magnitude of 8.4 and can be spotted in the constellation Sagittarius most easily during August. Binoculars will resolve a small patch of light in the sky, but larger telescopes are needed to resolve individual stars.",M5,Globular Cluster,7.6,9.1,87400,Sagittarius,NGC 6715
M55,"Messier 55 (M55), also known as the Summer Rose Star, is a globular cluster located in the constellation Sagittarius.  The cluster has an apparent magnitude of 7.42 and lies at a distance of 17,600 light years from Earth. It has the designation NGC 6809 in the New General Catalogue. Messier 55 occupies 19 arc minutes of apparent sky, which is almost two thirds the size of the full Moon.  The cluster has a linear diameter of almost 100 light years. It can be seen in 50 mm binoculars, but can only be resolved in medium-sized and larger telescopes. 8-inch telescopes will easily resolve many of the cluster’s stars.",M5,Globular Cluster,6.3,19.1,17600,Sagittarius,NGC 6809
M56,"Charles Messier discovered the globular cluster M56 in 1779. The cluster is located 33,000 light-years away from Earth in the constellation Lyra. It has an apparent magnitude of 8.3 and can be observed with a small telescope most easily in August. Using various observations by Hubble, astronomers have been able to study the chemical composition of the cluster. M56 has relatively few elements heavier than hydrogen and helium, which is a sign that its stars were born early in the universe’s history before many of the elements in existence today were formed in significant quantities.  Astronomers have found that most of clusters with this type of chemical makeup lie along a plane in the Milky Way’s halo. This suggests that such clusters were captured from a satellite galaxy, rather than being the oldest members of the Milky Way’s globular cluster system as astronomers had previously thought.",M5,Globular Cluster,8.3,5,32900,Lyra,NGC 6779
M57,"M57, or the Ring Nebula, is a planetary nebula, the glowing remains of a sun-like star. The tiny white dot in the center of the nebula is the star’s hot core, called a white dwarf. M57 is about 2,000 light-years away in the constellation Lyra, and is best observed during August. Discovered by the French astronomer Antoine Darquier de Pellepoix in 1779, the Ring Nebula has an apparent magnitude of 8.8 and can be spotted with moderately sized telescopes.  M57 is tilted toward Earth so that astronomers see the ring face-on. This gorgeous, high-resolution Hubble image helped astronomers determine that the nebula’s shape is more complicated than initially thought. The blue gas in the nebula’s center is actually a football-shaped structure seen end-on that pierces the red, doughnut-shaped material. The inner rim of the ring displays an intricate structure of dark, irregular knots of dense gas that the stellar winds have not yet been able to blow away. The knots and their tails look like spokes in a bicycle.  This image of M57 has been colorized to illustrate the nebula’s chemical composition. The deep blue color in the center represents helium, the light blue color of the inner ring is the glow of hydrogen and oxygen, and the reddish color of the outer ring is from nitrogen and sulfur.",M57,Planetary Nebula,9.7,1.18,2300,Lyra,NGC 6720
M58,"Discovered in 1779 by Charles Messier, M58 was one of the first galaxies recognized to have a spiral shape and is one of four barred spiral galaxies in Messier’s catalog. M58 is one of the brightest galaxies in the constellation Virgo. Located roughly 62 million light-years from Earth, M58 is the most distant Messier object.  Although it appears bright, M58’s core is relatively dim compared to other spiral galaxies. The core contains high rates of star formation, known as starburst activity. It also houses a supermassive black hole around 70 million times the mass of our Sun. A very small ring around the galaxy’s nucleus, known as an ultra-compact nuclear ring, is a main region of widespread starburst activity in M58 and is a rare phenomenon among galaxies.  Long arms extend out from the galaxy’s bright nucleus. However, a lack of hydrogen means that there is very little star formation activity in the arms. This could be the result of gravitational interactions with the nearby galaxies of the Virgo cluster. Two supernovas have been detected in M58, one in 1988 and the other in 1989.  The best time to view M58 is in May. With a magnitude of 9.8, the galaxy is best observed with an 8-inch or larger telescope, but it can be seen with large binoculars on clear nights as well. Small telescopes will only reveal the galaxy’s core.  This Hubble observation was taken in ultraviolet and visible light using the Wide Field and Planetary Camera 2. The image’s stair-step appearance results from the design of the camera. It shows about half of M58, with the galaxy’s core and arms filling the image. Hubble took these observations of M58 to study the properties of its nucleus (classified as a LINER, or low-ionization nuclear emission-line region) and compare it with active galactic nuclei in the centers of other galaxies.",M58,Galaxy,10.4,6,62000000,Virgo,NGC 4579
M59,"M59 is one of the largest elliptical galaxies in the Virgo galaxy cluster. However, it is still considerably less massive, and at a magnitude of 9.8, less luminous than other elliptical galaxies in the cluster.  A supermassive black hole around 270 million times as massive as the Sun resides at the center of M59. The galaxy also has an inner disk of stars and around 2,200 globular clusters, an exceptionally high number of such clusters. The central region of the galaxy, the inner 200 light-years, rotates in the opposite direction than the rest of the galaxy and is the smallest region in a galaxy known to exhibit this behavior.  Approximately 60 million light-years from Earth, M59 can be found near M58 and M60 in the constellation Virgo. It is best seen in May. Small telescopes might reveal an ellipsoidal shape with a bright center, but even larger scopes do not reveal much detail.  German astronomer Johann Gottfried Koehler discovered M59 and the nearby galaxy M60 in the spring of 1779 when observing the comet of that year (Comet Bode). While observing that same comet, Charles Messier observed and added M59, M60 and the neighboring M58 to his catalog.",M105,Galaxy,10.7,5.3,60000000,Virgo,NGC 4621
M60,"The Virgo cluster is a collection of more than 1,300 galaxies, including the elliptical galaxy M60. Unlike spiral galaxies, elliptical galaxies lack an organized structure and are nearly featureless, resembling the core of a spiral galaxy. The Virgo cluster’s third brightest member, M60 has a diameter of 120,000 light-years and is as massive as one trillion suns. At its center lies a huge black hole, 4.5 billion times as massive as the sun — one of the most massive black holes ever found.  In this stunning image, which includes observations taken in infrared and visible wavelengths, Hubble has captured M60 (the large, diffuse galaxy at the center) along with the bluish spiral galaxy NGC 4647 (upper right). NGC 4647 is about two-thirds the size of M60 — or roughly the size of the Milky Way galaxy — and is much less massive. The two galaxies form a pair known as Arp 116.  Astronomers have long tried to determine whether these two galaxies are actually interacting. Although from Earth they appear to overlap, there is no evidence of new star formation, which would be one of the clearest signs that the two galaxies are indeed interacting. Discovered by the German astronomer Johann Gottfried Keohler in 1779, M60 is located in the constellation Virgo roughly 54 million light-years from Earth. It has an apparent magnitude of 9.8, and its central region can be seen through a small telescope most easily during May. A larger telescope can reveal NGC 4647 as well.",M105,Galaxy,9.8,7.6,55000000,Virgo,NGC 4649
M61,"Discovered in 1779 by the Italian astronomer Barnaba Oriani, M61 is a barred spiral galaxy located in the constellation Virgo. Charles Messier noticed it on the same night as Oriani, but he mistook the galaxy for a passing comet. A member of the Virgo Cluster of galaxies, M61 is roughly 55 million light-years away from Earth and has an apparent magnitude of 10.2. It is most easily spotted during the month of May and can be observed using a moderately sized telescope.  M61 is a type of galaxy known as a starburst galaxy. Starburst galaxies experience an incredibly high rate of star formation, hungrily using up their reservoir of gas in a very short period of time (in astronomical terms). But this is not the only activity going on within the galaxy; an X-ray source has been detected deep at its heart, leading astronomers to believe that a supermassive black hole sits at its core. This galaxy has also been host to seven observed supernovas — the most of any galaxy in the Messier catalog.  This Hubble image of M61, created from observations at visible and infrared wavelengths, grants a close look at the face-on galaxy’s structure. The spiral arms can be seen in stunning detail, swirling inward to the very center of the galaxy, where they form a smaller, intensely bright spiral. In the outer regions, these vast arms are sprinkled with bright, blue regions where new stars are being formed from hot, dense clouds of gas.  The image’s stair-step appearance results from the design of the camera used to take the exposures. The camera consisted of four light detectors, one of which provided a higher resolution but had a smaller field of view than the other three. Because the detector with the higher resolution did not cover as much area as the others, black regions were left when the images from all four detectors were combined into one picture. ",M61,Galaxy,10.1,6.5,52500000,Virgo,NGC 4303
M62,"M62 is known for being one of the most irregularly shaped globular clusters in our galaxy. This might be because it is one of the closest globular clusters to the center of our galaxy and is affected by galactic tidal forces, displacing many of the cluster’s stars toward the southeast.  M62 has an extremely dense core of 150,000 stars. In 2013, astronomers discovered a stellar-mass black hole in M62, one of the first to ever be found in a globular cluster. According to observations from NASA’s Chandra X-ray Observatory, M62 also contains a large number of X-ray binaries, which formed in close encounters between stars in the cluster.  This Hubble observation was taken in ultraviolet and visible light using the Advanced Camera for Surveys and Wide Field Camera 3. Most of the globular cluster is featured in this observation, with the core focused toward the top right. Hubble made these observations to help astronomers study the characteristics of globular clusters, measure the mass of M62’s black hole, and help determine the formation and evolution of cluster binaries.  Charles Messier discovered M62 in 1771. The globular cluster is almost 12 billion years old. M62 has a magnitude of 6.6 and is located in the constellation Ophiuchus, approximately 22,200 light-years away from Earth. Best observed in July, the cluster is easily found southeast of the bright star Antares and can be seen as a hazy patch with binoculars. Small telescopes reveal a comet-like shape, while telescopes 8 inches or larger will resolve more stars.",M5,Globular Cluster,6.5,14.1,22200000,Ophiuchus,NGC 6266
